Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2003-04,19,DEN,17.6,.509,0.1,1.6,6.1,.098
2004-05,20,DEN,16.7,.526,-1.2,0.5,4.9,.090
2005-06,21,DEN,22.0,.563,2.7,3.5,9.4,.153
2006-07,22,DEN,22.1,.552,1.9,2.5,7.3,.140
2007-08,23,DEN,21.1,.568,1.6,2.5,8.2,.140
2008-09,24,DEN,19.0,.532,0.5,1.5,5.0,.105
2009-10,25,DEN,22.2,.548,2.3,2.9,7.9,.145
2010-11,26,2TM,21.7,.557,1.9,2.7,7.9,.138
2010-11,26,DEN,21.2,.547,1.4,1.5,4.7,.127
2010-11,26,NYK,22.8,.575,2.9,1.2,3.2,.157
2011-12,27,NYK,21.1,.525,3.6,2.7,6.2,.160
2012-13,28,NYK,24.8,.560,4.3,3.9,9.5,.184
2013-14,29,NYK,24.4,.561,5.0,5.3,10.7,.172
2014-15,30,NYK,21.5,.531,3.0,1.8,2.9,.097
2015-16,31,NYK,20.3,.530,3.3,3.4,6.4,.121
2016-17,32,NYK,17.9,.535,0.7,1.7,4.7,.089
2017-18,33,OKC,12.7,.503,-1.9,0.0,3.7,.071
2018-19,34,HOU,10.9,.513,-2.7,-0.1,0.3,.048
2019-20,35,POR,12.4,.525,-3.6,-0.8,1.3,.033
2020-21,36,POR,14.6,.547,-1.1,0.4,2.6,.073
2021-22,37,LAL,14.8,.579,-0.5,0.7,3.6,.097
