Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2012-13,22,GSW,79,13.4,2.9,3.3,0.7,.327,.209,.818
2013-14,23,GSW,82,21.9,6.2,5.0,1.9,.407,.333,.667
2014-15,24,GSW,79,31.5,11.7,8.2,3.7,.443,.337,.660
2015-16,25,GSW,81,34.7,14.0,9.5,7.4,.490,.388,.696
2016-17,26,GSW,76,32.5,10.2,7.9,7.0,.418,.308,.709
2017-18,27,GSW,70,32.7,11.0,7.6,7.3,.454,.301,.775
2018-19,28,GSW,66,31.3,7.4,7.3,6.9,.445,.285,.692
2019-20,29,GSW,43,28.4,8.0,6.2,6.2,.389,.279,.759
2020-21,30,GSW,63,31.5,7.0,7.1,8.9,.447,.270,.795
2021-22,31,GSW,46,28.9,7.5,7.3,7.0,.525,.296,.659
2022-23,32,GSW,73,31.5,8.5,7.2,6.8,.527,.305,.713
2023-24,33,GSW,55,27.1,8.6,7.2,6.0,.497,.395,.730
2024-25,34,GSW,68,29.2,9.0,6.1,5.6,.424,.325,.687
2025-26,35,GSW,68,27.5,8.4,5.5,5.5,.418,.326,.702
