Player,Age,G,PPG,RPG,APG,FG%,3P%
Klay Thompson,26,78,22.3,3.7,2.1,.468,.414
Stephen Curry,28,79,25.3,4.5,6.6,.468,.411
Kevin Durant,28,62,25.1,8.3,4.8,.537,.375
Draymond Green,26,76,10.2,7.9,7.0,.418,.308
Andre Iguodala,33,76,7.6,4.0,3.4,.528,.362
Matt Barnes,36,20,5.7,4.6,2.3,.422,.346
Zaza Pachulia,32,70,6.1,5.9,1.9,.534,.000
Shaun Livingston,31,76,5.1,2.0,1.8,.547,.333
Patrick McCaw,21,71,4.0,1.4,1.1,.433,.333
Ian Clark,25,77,6.8,1.6,1.2,.487,.374
David West,36,68,4.6,3.0,2.2,.536,.375
JaVale McGee,29,77,6.1,3.2,0.2,.652,.000
James Michael McAdoo,24,52,2.8,1.8,0.3,.530,.250
Damian Jones,21,10,1.9,2.3,0.0,.500,
Kevon Looney,20,53,2.5,2.3,0.5,.523,.222
Anderson Varej̣o,34,14,1.3,1.9,0.7,.357,
Briante Weber,24,7,1.7,0.6,0.7,.357,.000
